Carbon dioxide,Temporary,Humidity,Oxygen
50,20,61,20
48,20,64,21
53,21,63,20
51,20,60,20
43,21,60,21
53,21,58,20
43,20,58,21
50,20,60,21
44,21,60,20
43,21,62,21
51,20,59,20
48,21,62,21
48,21,58,21
48,20,59,21
47,20,60,20
47,20,64,21
46,20,62,21
52,21,62,21
46,21,60,20
49,20,63,20
50,20,63,20
46,21,58,21
46,20,63,21
49,21,58,20
51,21,61,21
48,21,61,20
46,21,60,21
50,21,59,20
52,20,60,21
49,21,73,21
62,21,73,20
58,22,69,20
61,22,66,21
55,22,68,21
62,21,65,20
50,22,73,20
59,21,68,20
61,21,72,21
55,21,66,21
61,22,73,21
54,21,71,20
57,22,66,21
51,21,71,21
47,22,70,20
59,22,65,21
47,22,73,20
57,22,67,21
56,22,65,21
48,21,66,20
60,22,68,21
54,22,65,21
61,22,70,21
55,21,67,21
56,22,71,21
61,22,72,20
56,22,68,20
51,21,67,20
47,22,66,21
61,21,73,21
38,20,61,21
42,21,65,20
38,20,63,20
38,20,65,21
41,20,65,20
39,20,65,21
39,21,62,21
42,20,65,21
38,20,61,21
42,20,61,20
43,21,65,21
42,20,61,20
40,21,61,20
40,20,62,20
41,21,62,21
43,20,62,20
42,21,61,20
38,21,61,20
42,20,64,21
39,21,64,21
43,21,64,21
38,20,64,20
40,21,64,20
40,21,64,20
43,21,65,21
38,20,64,21
43,21,64,20
39,20,65,20
56,20,72,21
55,20,69,21
61,20,68,20
59,20,73,21
57,21,67,20
65,20,70,20
60,20,66,21
53,20,67,20
65,20,69,20
48,20,68,20
58,21,65,21
60,20,73,21
62,20,68,21
62,21,72,21
61,21,63,21
58,21,64,21
65,20,73,21
55,20,65,20
49,21,69,21
56,20,68,20
60,21,71,21
63,21,68,20
60,21,65,21
67,20,66,20
55,21,73,20
54,20,64,20
51,20,72,21
67,20,70,20
63,21,64,21
64,20,68,21
47,20,63,20
50,21,71,20
