,Attack,Defense,Generation,HP,Sp. Atk,Sp. Def,Speed,Total,label
0,49.0,49.0,1.0,45.0,65.0,65.0,45.0,318.0,0.0
1,62.0,63.0,1.0,60.0,80.0,80.0,60.0,405.0,0.0
2,82.0,83.0,1.0,80.0,100.0,100.0,80.0,525.0,0.0
4,52.0,43.0,1.0,39.0,60.0,50.0,65.0,309.0,0.0
5,64.0,58.0,1.0,58.0,80.0,65.0,80.0,405.0,0.0
6,84.0,78.0,1.0,78.0,109.0,85.0,100.0,534.0,0.0
7,130.0,111.0,1.0,78.0,130.0,85.0,100.0,634.0,0.0
9,48.0,65.0,1.0,44.0,50.0,64.0,43.0,314.0,0.0
10,63.0,80.0,1.0,59.0,65.0,80.0,58.0,405.0,0.0
11,83.0,100.0,1.0,79.0,85.0,105.0,78.0,530.0,0.0
13,30.0,35.0,1.0,45.0,20.0,20.0,45.0,195.0,0.0
14,20.0,55.0,1.0,50.0,25.0,25.0,30.0,205.0,0.0
15,45.0,50.0,1.0,60.0,90.0,80.0,70.0,395.0,0.0
18,90.0,40.0,1.0,65.0,45.0,80.0,75.0,395.0,0.0
19,150.0,40.0,1.0,65.0,15.0,80.0,145.0,495.0,0.0
20,45.0,40.0,1.0,40.0,35.0,35.0,56.0,251.0,0.0
21,60.0,55.0,1.0,63.0,50.0,50.0,71.0,349.0,0.0
22,80.0,75.0,1.0,83.0,70.0,70.0,101.0,479.0,0.0
23,80.0,80.0,1.0,83.0,135.0,80.0,121.0,579.0,0.0
24,56.0,35.0,1.0,30.0,25.0,35.0,72.0,253.0,0.0
25,81.0,60.0,1.0,55.0,50.0,70.0,97.0,413.0,0.0
26,60.0,30.0,1.0,40.0,31.0,31.0,70.0,262.0,0.0
27,90.0,65.0,1.0,65.0,61.0,61.0,100.0,442.0,0.0
28,60.0,44.0,1.0,35.0,40.0,54.0,55.0,288.0,0.0
29,85.0,69.0,1.0,60.0,65.0,79.0,80.0,438.0,0.0
30,55.0,40.0,1.0,35.0,50.0,50.0,90.0,320.0,0.0
31,90.0,55.0,1.0,60.0,90.0,80.0,110.0,485.0,0.0
32,75.0,85.0,1.0,50.0,20.0,30.0,40.0,300.0,0.0
33,100.0,110.0,1.0,75.0,45.0,55.0,65.0,450.0,0.0
34,47.0,52.0,1.0,55.0,40.0,40.0,41.0,275.0,0.0
35,62.0,67.0,1.0,70.0,55.0,55.0,56.0,365.0,0.0
36,92.0,87.0,1.0,90.0,75.0,85.0,76.0,505.0,0.0
