,Attack,Defense,Generation,HP,Sp. Atk,Sp. Def,Speed,Total,label
3,100.0,123.0,1.0,80.0,122.0,120.0,80.0,625.0,0.0
8,104.0,78.0,1.0,78.0,159.0,115.0,100.0,634.0,0.0
12,103.0,120.0,1.0,79.0,135.0,115.0,78.0,630.0,0.0
16,35.0,30.0,1.0,40.0,20.0,20.0,50.0,195.0,0.0
17,25.0,50.0,1.0,45.0,25.0,25.0,35.0,205.0,0.0
46,45.0,35.0,1.0,40.0,30.0,40.0,55.0,245.0,0.0
71,50.0,65.0,1.0,55.0,175.0,95.0,150.0,590.0,0.0
87,75.0,180.0,1.0,95.0,130.0,80.0,30.0,590.0,0.0
121,5.0,5.0,1.0,250.0,35.0,105.0,50.0,450.0,0.0
162,110.0,90.0,1.0,106.0,154.0,90.0,130.0,680.0,1.0
163,190.0,100.0,1.0,106.0,154.0,100.0,130.0,780.0,1.0
164,150.0,70.0,1.0,106.0,194.0,120.0,140.0,780.0,1.0
187,25.0,28.0,2.0,50.0,45.0,55.0,15.0,218.0,0.0
224,125.0,230.0,2.0,75.0,55.0,95.0,30.0,610.0,0.0
229,150.0,140.0,2.0,70.0,65.0,100.0,75.0,600.0,0.0
230,10.0,230.0,2.0,20.0,10.0,230.0,5.0,505.0,0.0
232,185.0,115.0,2.0,80.0,40.0,105.0,75.0,600.0,0.0
255,35.0,35.0,2.0,35.0,35.0,35.0,35.0,210.0,0.0
261,10.0,10.0,2.0,255.0,75.0,135.0,55.0,540.0,0.0
268,164.0,150.0,2.0,100.0,95.0,120.0,71.0,700.0,0.0
269,90.0,130.0,2.0,106.0,90.0,154.0,110.0,680.0,1.0
270,130.0,90.0,2.0,106.0,110.0,154.0,90.0,680.0,1.0
284,55.0,35.0,3.0,35.0,30.0,30.0,35.0,220.0,0.0
291,35.0,55.0,3.0,50.0,25.0,25.0,15.0,205.0,0.0
293,30.0,30.0,3.0,40.0,40.0,50.0,30.0,220.0,0.0
306,85.0,65.0,3.0,68.0,165.0,135.0,100.0,618.0,0.0
313,160.0,100.0,3.0,150.0,95.0,65.0,100.0,670.0,0.0
316,90.0,45.0,3.0,1.0,30.0,30.0,40.0,236.0,0.0
333,140.0,230.0,3.0,70.0,60.0,80.0,50.0,630.0,0.0
381,15.0,20.0,3.0,20.0,10.0,55.0,80.0,200.0,0.0
409,145.0,130.0,3.0,95.0,120.0,90.0,120.0,700.0,0.0
413,145.0,150.0,3.0,80.0,105.0,110.0,110.0,700.0,0.0
418,100.0,120.0,3.0,80.0,140.0,150.0,110.0,700.0,1.0
420,130.0,100.0,3.0,80.0,160.0,120.0,110.0,700.0,1.0
422,150.0,90.0,3.0,100.0,180.0,160.0,90.0,770.0,1.0
423,150.0,140.0,3.0,100.0,100.0,90.0,90.0,670.0,1.0
424,180.0,160.0,3.0,100.0,150.0,90.0,90.0,770.0,1.0
425,150.0,90.0,3.0,105.0,150.0,90.0,95.0,680.0,1.0
426,180.0,100.0,3.0,105.0,180.0,100.0,115.0,780.0,1.0
428,150.0,50.0,3.0,50.0,150.0,50.0,150.0,600.0,1.0
429,180.0,20.0,3.0,50.0,180.0,20.0,150.0,600.0,1.0
494,170.0,115.0,4.0,108.0,120.0,95.0,92.0,700.0,0.0
541,120.0,100.0,4.0,90.0,150.0,120.0,100.0,680.0,1.0
543,160.0,110.0,4.0,110.0,80.0,110.0,100.0,670.0,1.0
544,100.0,120.0,4.0,150.0,100.0,120.0,90.0,680.0,1.0
552,120.0,120.0,4.0,120.0,120.0,120.0,120.0,720.0,1.0
706,120.0,100.0,5.0,100.0,150.0,120.0,90.0,680.0,1.0
711,170.0,100.0,5.0,125.0,120.0,90.0,95.0,700.0,1.0
712,120.0,90.0,5.0,125.0,170.0,100.0,95.0,700.0,1.0
790,30.0,35.0,6.0,40.0,45.0,40.0,55.0,245.0,0.0
793,131.0,95.0,6.0,126.0,131.0,98.0,99.0,680.0,1.0
796,160.0,110.0,6.0,50.0,160.0,110.0,110.0,700.0,1.0
798,160.0,60.0,6.0,80.0,170.0,130.0,80.0,680.0,1.0
